Date	Location	Crop	Soil_Moisture	Temperature_C	Yield_kg_per_hectare
22042021	Maharashtra	Onion	22.82	22.08	13299.89
23012020	Haryana	Barley	17.38	22.6	1861.83
5012023	Haryana	Tomato	30.79	21.12	22308.72
19042024	Maharashtra	Rice	43.18	29.55	4433.11
15092021	Uttar Pradesh	Wheat	21.78	22.11	2425.62
9072022	Maharashtra	Potato	33.73	19.1	21753.36
29042024	Uttar Pradesh	Onion	30.52	19.0	15856.7
13022021	Uttar Pradesh	Wheat	34.87	19.64	4968.21
24082024	Bihar	Wheat	21.7	15.37	3099.87
8012020	Haryana	Rice	38.69	31.11	5777.66
17072023	Bihar	Barley	18.46	20.4	3370.52
7102024	West Bengal	Onion	26.43	23.29	19895.7
8072022	Uttar Pradesh	Rice	49.15	33.32	5501.02
19042022	West Bengal	Wheat	27.24	23.45	2738.31
6062020	Maharashtra	Cucumber	34.19	22.19	13564.21
2082021	Uttar Pradesh	Wheat	23.11	21.31	2864.14
19102023	Haryana	Rice	54.17	37.05	4606.01
7122024	West Bengal	Tomato	29.39	32.22	22450.32
7122024	Karnataka	Cucumber	28.85	29.2	11571.38
13102021	Haryana	Potato	31.37	19.01	31441.68
1062023	Bihar	Potato	27.0	22.71	15104.58
14092021	Karnataka	Rice	36.75	32.38	3759.2
24092021	Karnataka	Cucumber	28.62	26.96	15837.57
3052021	Uttar Pradesh	Tomato	32.62	29.44	28242.18
15092023	Haryana	Potato	29.18	16.89	12628.34
26062024	Punjab	Cucumber	33.66	25.48	9033.95
8012022	Karnataka	Tomato	26.82	30.84	23219.78
17012024	Uttar Pradesh	Rice	53.39	33.43	3896.79
18012021	Tamil Nadu	Onion	27.02	21.77	16675.13
27052020	Maharashtra	Potato	27.76	19.41	14612.73
29072022	West Bengal	Potato	33.55	18.97	22693.22
17112022	Tamil Nadu	Onion	26.04	23.94	21932.58
4072024	Uttar Pradesh	Barley	22.63	18.27	2729.7
24012023	Tamil Nadu	Rice	55.0	35.95	4705.53
9062021	Maharashtra	Potato	26.83	16.92	19221.1
13052023	Tamil Nadu	Wheat	33.78	30.78	2504.19
14062024	Uttar Pradesh	Potato	32.58	20.57	31260.28
22112024	Maharashtra	Wheat	30.81	20.62	4339.0
1122023	Punjab	Cucumber	31.48	29.53	21664.69
21012020	Karnataka	Potato	34.83	24.78	20134.79
12032022	West Bengal	Rice	42.02	35.37	3895.1
22072020	West Bengal	Barley	20.9	14.08	2286.69
26012021	Uttar Pradesh	Wheat	27.33	14.97	3152.17
27092023	West Bengal	Potato	29.36	16.69	18151.66
